body_acc_x,body_acc_y,body_acc_z,gravity_acc_x,gravity_acc_y,gravity_acc_z,body_gyro_x,body_gyro_y,body_gyro_z
1.1865795E-4,0.0033483505,-1.1690438E-4,-1.12228205E-4,9.806651,1.1105916E-4,0.0,0.0,0.0
1.256722E-4,0.0033483505,-1.2391864E-4,-1.1865795E-4,9.806652,1.1690438E-4,0.0,0.0,0.0
1.3034839E-4,0.0033483505,-1.2859482E-4,-1.256722E-4,9.806652,1.2391864E-4,0.0,0.0,0.0
1.3560908E-4,0.0033493042,-1.3444004E-4,-1.3034839E-4,9.806652,1.2859482E-4,0.0,0.0,0.0
1.4203881E-4,0.0033483505,-1.4028525E-4,-1.3560908E-4,9.806651,1.3444004E-4,0.0,0.0,0.0
1.4729952E-4,0.0033493042,-1.4613048E-4,-1.4203881E-4,9.806652,1.4028525E-4,0.0,0.0,0.0
1.5372926E-4,0.0033483505,-1.5197569E-4,-1.4729952E-4,9.806651,1.4613048E-4,0.0,0.0,0.0
1.5898996E-4,0.0033493042,-1.5782092E-4,-1.5372926E-4,9.806652,1.5197569E-4,0.0,0.0,0.0
1.6483518E-4,0.0033493042,-1.6366613E-4,-1.5898996E-4,9.806651,1.5782092E-4,0.0,0.0,0.0
1.7155717E-4,0.0033512115,-1.7243397E-4,-1.6483518E-4,9.806651,1.6366613E-4,0.0,0.0,0.0
1.7652562E-4,0.0033493042,-1.7535657E-4,-1.7155717E-4,9.806649,1.7243397E-4,0.0,0.0,0.0
1.8266309E-4,0.0033483505,-1.8061727E-4,-1.7652562E-4,9.806651,1.7535657E-4,0.0,0.0,0.0
1.8821606E-4,0.0033502579,-1.8821606E-4,-1.8266309E-4,9.806652,1.8061727E-4,0.0,0.0,0.0
1.9435353E-4,0.0033502579,-1.9347675E-4,-1.8821606E-4,9.80665,1.8821606E-4,0.0,0.0,0.0
1.9990648E-4,0.0033493042,-1.9873744E-4,-1.9435353E-4,9.80665,1.9347675E-4,0.0,0.0,0.0
2.0604397E-4,0.0033512115,-2.0633623E-4,-1.9990648E-4,9.806651,1.9873744E-4,0.0,0.0,0.0
2.110124E-4,0.0033512115,-2.1159693E-4,-2.0604397E-4,9.806649,2.0633623E-4,0.0,0.0,0.0
2.1656536E-4,0.0033512115,-2.1685762E-4,-2.110124E-4,9.806649,2.1159693E-4,0.0,0.0,0.0
2.2211832E-4,0.0033502579,-2.2211832E-4,-2.1656536E-4,9.806649,2.1685762E-4,0.0,0.0,0.0
2.2767128E-4,0.0033502579,-2.2737902E-4,-2.2211832E-4,9.80665,2.2211832E-4,0.0,0.0,0.0
2.3439329E-4,0.0033502579,-2.3380877E-4,-2.2767128E-4,9.80665,2.2737902E-4,0.0,0.0,0.0
2.387772E-4,0.0033502579,-2.3790041E-4,-2.3439329E-4,9.80665,2.3380877E-4,0.0,0.0,0.0
2.4374563E-4,0.0033502579,-2.431611E-4,-2.387772E-4,9.80665,2.3790041E-4,0.0,0.0,0.0
2.4929858E-4,0.0033502579,-2.484218E-4,-2.4374563E-4,9.80665,2.431611E-4,0.0,0.0,0.0
2.536825E-4,0.0033502579,-2.536825E-4,-2.4929858E-4,9.80665,2.484218E-4,0.0,0.0,0.0
2.5923547E-4,0.0033502579,-2.589432E-4,-2.536825E-4,9.80665,2.536825E-4,0.0,0.0,0.0
2.642039E-4,0.0033502579,-2.642039E-4,-2.5923547E-4,9.80665,2.589432E-4,0.0,0.0,0.0
2.6975686E-4,0.0033502579,-2.694646E-4,-2.642039E-4,9.80665,2.642039E-4,0.0,0.0,0.0
2.747253E-4,0.0033502579,-2.747253E-4,-2.6975686E-4,9.80665,2.694646E-4,0.0,0.0,0.0
2.7969372E-4,0.0033483505,-2.776479E-4,-2.747253E-4,9.80665,2.747253E-4,0.0,0.0,0.0
2.8407763E-4,0.0033493042,-2.829086E-4,-2.7969372E-4,9.806652,2.776479E-4,0.0,0.0,0.0
2.890461E-4,0.0033502579,-2.881693E-4,-2.8407763E-4,9.806651,2.829086E-4,0.0,0.0,0.0
2.9372226E-4,0.0033493042,-2.9284548E-4,-2.890461E-4,9.80665,2.881693E-4,0.0,0.0,0.0
2.9898295E-4,0.0033493042,-2.9752165E-4,-2.9372226E-4,9.806651,2.9284548E-4,0.0,0.0,0.0
3.0482817E-4,0.0033493042,-3.0336686E-4,-2.9898295E-4,9.806651,2.9752165E-4,0.0,0.0,0.0
3.089198E-4,0.0033493042,-3.0804303E-4,-3.0482817E-4,9.806651,3.0336686E-4,0.0,0.0,0.0
3.1359599E-4,0.0033502579,-3.127192E-4,-3.089198E-4,9.806651,3.0804303E-4,0.0,0.0,0.0
3.1768766E-4,0.0033502579,-3.173954E-4,-3.1359599E-4,9.80665,3.127192E-4,0.0,0.0,0.0
3.2236383E-4,0.0033502579,-3.2207157E-4,-3.1768766E-4,9.80665,3.173954E-4,0.0,0.0,0.0
3.217793E-4,0.0033502579,-3.2207157E-4,-3.2236383E-4,9.80665,3.2207157E-4,0.0,0.0,0.0
3.2645548E-4,0.0033512115,-3.2674774E-4,-3.217793E-4,9.80665,3.2207157E-4,0.0,0.0,0.0
