body_acc_x,body_acc_y,body_acc_z,gravity_acc_x,gravity_acc_y,gravity_acc_z,body_gyro_x,body_gyro_y,body_gyro_z
0.005581379,0.0035251342,-0.005145073,0.32773536,-0.047912262,9.801055,-2.4414062E-4,0.001663208,-2.4414062E-4
0.0036918223,-0.0039489456,-0.001250267,0.32331815,-0.04952698,9.801194,-3.0517578E-5,8.087158E-4,-4.5776367E-4
0.0063558817,2.2647902E-4,0.007622719,0.31923512,-0.048181556,9.801335,1.8310547E-4,0.0031585693,1.6784668E-4
0.004252106,-0.0054403357,-5.722046E-6,0.31549746,-0.045049172,9.801471,6.1035156E-4,0.0035858154,-3.0517578E-5
-0.0019284487,0.0028859787,-0.011521339,0.31396782,-0.041563,9.801535,0.0029449463,0.0029449463,1.6784668E-4
-1.05172396E-4,0.0013620183,-0.00370121,0.3136398,-0.04053997,9.80155,0.0010375977,3.8146973E-4,-2.4414062E-4
-6.8309903E-4,4.2015687E-4,0.007891655,0.3124197,-0.039935876,9.801591,1.8310547E-4,1.6784668E-4,1.6784668E-4
4.4968724E-4,2.776049E-4,-0.005050659,0.31196442,-0.03945494,9.801608,1.8310547E-4,3.8146973E-4,-2.4414062E-4
0.0037747025,-4.9672276E-4,0.0013084412,0.3122165,-0.039744437,9.801599,1.8310547E-4,3.8146973E-4,1.6784668E-4
0.0011814535,-3.5111234E-4,0.0013332367,0.31202698,-0.039537344,9.801605,-3.0517578E-5,8.087158E-4,-2.4414062E-4
0.0030143857,-6.2311813E-4,0.0037412643,0.31228316,-0.039486744,9.801597,1.8310547E-4,3.8146973E-4,-2.4414062E-4
-7.6413155E-5,1.02009624E-4,-3.9196014E-4,0.31191835,-0.039495457,9.80161,1.8310547E-4,5.950928E-4,1.6784668E-4
-3.862083E-4,0.0011030473,0.002049446,0.31135952,-0.0385898,9.80163,-3.0517578E-5,1.6784668E-4,-3.0517578E-5
0.0019996762,7.656552E-4,4.7683716E-6,0.31244585,-0.038254037,9.801597,1.8310547E-4,1.6784668E-4,1.6784668E-4
0.0010680258,-0.0027156286,-0.004073143,0.3127079,-0.039671525,9.801583,-3.0517578E-5,-4.5776367E-5,-2.4414062E-4
-0.0042918026,-0.0014473535,0.0017623901,0.31063655,-0.040459435,9.801645,-3.0517578E-5,1.6784668E-4,-3.0517578E-5
0.0010031164,3.3701956E-4,-0.0016412735,0.3104037,-0.039505363,9.801657,-3.0517578E-5,-4.5776367E-5,1.6784668E-4
0.0052036643,1.7377734E-4,-0.0015993118,0.31183398,-0.038632188,9.801615,3.9672852E-4,3.8146973E-4,-3.0517578E-5
-7.3450804E-4,-0.0018063821,-8.392334E-4,0.31072637,-0.039153583,9.801648,3.9672852E-4,5.950928E-4,-3.0517578E-5
9.036958E-4,-0.0026010908,0.0022935867,0.31038052,-0.040514104,9.801653,1.8310547E-4,3.8146973E-4,-2.4414062E-4
0.0018318892,3.7987158E-4,-9.794235E-4,0.30969918,-0.039549764,9.801679,-3.0517578E-5,3.8146973E-4,1.6784668E-4
0.0013742149,-0.0010018758,0.002453804,0.31000897,-0.040538277,9.801665,3.9672852E-4,8.087158E-4,1.6784668E-4
0.005279511,-0.0029479302,-0.001168251,0.31231788,-0.042065512,9.801585,-2.4414062E-4,1.6784668E-4,1.6784668E-4
-0.0012333691,-1.9428134E-4,-0.0013570786,0.31097093,-0.04136193,9.801632,-3.0517578E-5,1.6784668E-4,-3.0517578E-5
0.002189219,-0.0019129068,0.0025262833,0.31168428,-0.042379167,9.801604,3.9672852E-4,3.8146973E-4,-2.4414062E-4
-0.008683175,-0.0038395226,0.0071792603,0.30692416,-0.043908205,9.801747,-3.0517578E-5,1.6784668E-4,1.6784668E-4
-0.0028118193,0.0018472373,-0.005129814,0.30485323,-0.042184636,9.801819,1.8310547E-4,1.6784668E-4,-3.0517578E-5
-0.0016604364,-3.180541E-4,0.0011205673,0.30367622,-0.042411476,9.801856,3.9672852E-4,3.8146973E-4,-4.5776367E-4
0.00406906,-0.0014220141,-2.9850006E-4,0.30537137,-0.042740468,9.801802,-3.0517578E-5,1.6784668E-4,1.6784668E-4
0.0017832816,2.9858202E-5,7.4100494E-4,0.3054926,-0.042756192,9.801798,1.8310547E-4,1.6784668E-4,-2.4414062E-4
0.0022054613,-8.969717E-4,0.004962921,0.30617836,-0.04324996,9.801774,-3.0517578E-5,3.8146973E-4,-4.5776367E-4
0.0030957162,-9.023212E-4,-0.007889748,0.3070834,-0.04291257,9.801747,-3.0517578E-5,1.6784668E-4,-3.0517578E-5
-0.0024138987,0.0016667433,-1.707077E-4,0.30470517,-0.04129437,9.801828,3.9672852E-4,3.8146973E-4,-2.4414062E-4
4.1258335E-4,-1.8011406E-4,0.0026569366,0.30411392,-0.040999852,9.801848,3.9672852E-4,5.950928E-4,-3.0517578E-5
0.004542887,3.294833E-4,7.8105927E-4,0.3047572,-0.04044239,9.80183,1.8310547E-4,3.8146973E-4,-2.4414062E-4
